Year,Collars,Method,median_est,lower,upper
1,5,Bayesian Random,0.868,0.767425,0.935525
1,5,Bayesian Fixed,0.9455,0.54735,0.999525
1,5,Frequentist Retro,0.8,0.4,1
1,10,Bayesian Random,0.855,0.7460249999999999,0.9100999999999999
1,10,Bayesian Fixed,0.869,0.58114999999999994,0.9925249999999999
1,10,Frequentist Retro,0.8,0.5,1
1,20,Bayesian Random,0.848,0.7413749999999999,0.886575
1,20,Bayesian Fixed,0.819,0.6151249999999999,0.958
1,20,Frequentist Retro,0.8,0.57375,0.95
1,30,Bayesian Random,0.844,0.781475,0.88105
1,30,Bayesian Fixed,0.789,0.65385,0.9270749999999998
1,30,Frequentist Retro,0.767,0.64915,0.9173249999999997
1,50,Bayesian Random,0.8405,0.7917500000000001,0.8751
1,50,Bayesian Fixed,0.7895000000000001,0.699125,0.8916249999999999
1,50,Frequentist Retro,0.78,0.6895,0.88
2,5,Bayesian Random,0.8795,0.807475,0.9417249999999999
2,5,Bayesian Fixed,1,0.645325,1
2,5,Frequentist Retro,1,0.6,1
2,10,Bayesian Random,0.866,0.7877000000000001,0.9186749999999999
2,10,Bayesian Fixed,0.9325000000000001,0.636325,1
2,10,Frequentist Retro,0.9,0.6,1
2,20,Bayesian Random,0.8625,0.81385,0.90515
2,20,Bayesian Fixed,0.916,0.752625,1
2,20,Frequentist Retro,0.9,0.72375,1
2,30,Bayesian Random,0.8585,0.826,0.891525
2,30,Bayesian Fixed,0.8835,0.776475,0.977525
2,30,Frequentist Retro,0.867,0.767,0.967
2,50,Bayesian Random,0.857,0.82795,0.89105
2,50,Bayesian Fixed,0.888,0.821475,0.948525
2,50,Frequentist Retro,0.88,0.82,0.94
3,5,Bayesian Random,0.871,0.7909,0.9387249999999999
3,5,Bayesian Fixed,0.88,0.492025,1
3,5,Frequentist Retro,0.8,0.4,1
3,10,Bayesian Random,0.851,0.6742,0.9067749999999999
3,10,Bayesian Fixed,0.839,0.4766,1
3,10,Frequentist Retro,0.8,0.5,1
3,20,Bayesian Random,0.85,0.773225,0.88
3,20,Bayesian Fixed,0.82,0.6668000000000001,0.92305
3,20,Frequentist Retro,0.8,0.65,0.9
3,30,Bayesian Random,0.848,0.7978500000000001,0.885
3,30,Bayesian Fixed,0.818,0.676775,0.94505
3,30,Frequentist Retro,0.8,0.6826749999999999,0.933
3,50,Bayesian Random,0.847,0.8002750000000001,0.874675
3,50,Bayesian Fixed,0.823,0.6997,0.88705
3,50,Frequentist Retro,0.82,0.6895,0.88
4,5,Bayesian Random,0.8694999999999999,0.756075,0.9392499999999999
4,5,Bayesian Fixed,0.881,0.47887500000000005,1
4,5,Frequentist Retro,0.8,0.4,1
4,10,Bayesian Random,0.86,0.787425,0.915575
4,10,Bayesian Fixed,0.926,0.661325,1
4,10,Frequentist Retro,0.9,0.6,1
4,20,Bayesian Random,0.8545,0.8022750000000001,0.893575
4,20,Bayesian Fixed,0.8605,0.697425,0.966
4,20,Frequentist Retro,0.85,0.65,0.95
4,30,Bayesian Random,0.8525,0.81595,0.889575
4,30,Bayesian Fixed,0.8474999999999999,0.70585,0.945
4,30,Frequentist Retro,0.833,0.7,0.933
4,50,Bayesian Random,0.851,0.817425,0.8771
4,50,Bayesian Fixed,0.833,0.7163999999999999,0.92605
4,50,Frequentist Retro,0.82,0.7095,0.92
5,5,Bayesian Random,0.876,0.7976000000000001,0.93505
5,5,Bayesian Fixed,0.891,0.67495,1
5,5,Frequentist Retro,0.8,0.6,1
5,10,Bayesian Random,0.858,0.7790250000000001,0.921575
5,10,Bayesian Fixed,0.926,0.62955,1
5,10,Frequentist Retro,0.9,0.6,1
5,20,Bayesian Random,0.8565,0.8084250000000001,0.8995249999999999
5,20,Bayesian Fixed,0.8634999999999999,0.681475,1
5,20,Frequentist Retro,0.85,0.65,1
5,30,Bayesian Random,0.8565,0.7951250000000001,0.8886749999999999
5,30,Bayesian Fixed,0.8565,0.6844250000000001,0.976
5,30,Frequentist Retro,0.85,0.7,0.967
5,50,Bayesian Random,0.851,0.8124750000000001,0.884575
5,50,Bayesian Fixed,0.85,0.743325,0.9379249999999999
5,50,Frequentist Retro,0.84,0.74,0.9304999999999999
6,5,Bayesian Random,0.8815,0.796475,0.9401999999999999
6,5,Bayesian Fixed,1,0.6573249999999999,1
6,5,Frequentist Retro,1,0.6,1
6,10,Bayesian Random,0.8574999999999999,0.8038000000000001,0.911525
6,10,Bayesian Fixed,0.93,0.711125,1
6,10,Frequentist Retro,0.9,0.7,1
6,20,Bayesian Random,0.8565,0.796875,0.9022999999999999
6,20,Bayesian Fixed,0.8745,0.722,0.9852749999999997
6,20,Frequentist Retro,0.85,0.7,0.9762499999999996
6,30,Bayesian Random,0.857,0.826,0.896525
6,30,Bayesian Fixed,0.88,0.756025,0.978
6,30,Frequentist Retro,0.867,0.74915,0.967
6,50,Bayesian Random,0.854,0.82595,0.886525
6,50,Bayesian Fixed,0.8694999999999999,0.782375,0.9559749999999998
6,50,Frequentist Retro,0.86,0.78,0.9504999999999998
7,5,Bayesian Random,0.88,0.8089500000000001,0.945525
7,5,Bayesian Fixed,1,0.724325,1
7,5,Frequentist Retro,1,0.6,1
7,10,Bayesian Random,0.869,0.8008,0.925525
7,10,Bayesian Fixed,0.9395,0.744,1
7,10,Frequentist Retro,0.9,0.7,1
7,20,Bayesian Random,0.871,0.826425,0.89705
7,20,Bayesian Fixed,0.963,0.82385,1
7,20,Frequentist Retro,0.95,0.8,1
7,30,Bayesian Random,0.8665,0.826425,0.9067749999999999
7,30,Bayesian Fixed,0.918,0.8143750000000001,1
7,30,Frequentist Retro,0.9,0.8,1
7,50,Bayesian Random,0.864,0.837425,0.8971
7,50,Bayesian Fixed,0.9265000000000001,0.850375,0.9764499999999998
7,50,Frequentist Retro,0.92,0.84,0.9704999999999998
8,5,Bayesian Random,0.873,0.802225,0.933525
8,5,Bayesian Fixed,0.889,0.659475,1
8,5,Frequentist Retro,0.8,0.6,1
8,10,Bayesian Random,0.8645,0.8019000000000001,0.921575
8,10,Bayesian Fixed,0.9325000000000001,0.6847000000000001,1
8,10,Frequentist Retro,0.9,0.6475,1
8,20,Bayesian Random,0.86,0.81185,0.896575
8,20,Bayesian Fixed,0.913,0.72895,1
8,20,Frequentist Retro,0.9,0.7,1
8,30,Bayesian Random,0.86,0.828375,0.898725
8,30,Bayesian Fixed,0.9095,0.7449,0.977
8,30,Frequentist Retro,0.9,0.733,0.967
8,50,Bayesian Random,0.8585,0.82895,0.89005
8,50,Bayesian Fixed,0.888,0.7632749999999999,0.966525
8,50,Frequentist Retro,0.88,0.7495,0.96
9,5,Bayesian Random,0.873,0.7958750000000001,0.935
9,5,Bayesian Fixed,0.8795,0.5699500000000001,1
9,5,Frequentist Retro,0.8,0.495,1
9,10,Bayesian Random,0.8605,0.79,0.926
9,10,Bayesian Fixed,0.929,0.6214,1
9,10,Frequentist Retro,0.9,0.6,1
9,20,Bayesian Random,0.86,0.81995,0.898525
9,20,Bayesian Fixed,0.8714999999999999,0.724275,0.9843249999999997
9,20,Frequentist Retro,0.85,0.7,0.9762499999999996
9,30,Bayesian Random,0.859,0.8234249999999999,0.89005
9,30,Bayesian Fixed,0.877,0.7415,0.976525
9,30,Frequentist Retro,0.867,0.767,0.967
9,50,Bayesian Random,0.8545,0.8237999999999999,0.88305
9,50,Bayesian Fixed,0.8665,0.7812749999999999,0.9465749999999999
9,50,Frequentist Retro,0.86,0.7695000000000001,0.94
10,5,Bayesian Random,0.8765000000000001,0.794475,0.9466249999999998
10,5,Bayesian Fixed,0.9470000000000001,0.590075,1
10,5,Frequentist Retro,0.9,0.495,1
10,10,Bayesian Random,0.862,0.8049000000000001,0.922625
10,10,Bayesian Fixed,0.93,0.6929000000000001,1
10,10,Frequentist Retro,0.9,0.6475,1
10,20,Bayesian Random,0.8654999999999999,0.81775,0.906575
10,20,Bayesian Fixed,0.9195,0.7242249999999999,1
10,20,Frequentist Retro,0.9,0.7,1
10,30,Bayesian Random,0.8605,0.82695,0.892
10,30,Bayesian Fixed,0.881,0.779,0.977525
10,30,Frequentist Retro,0.867,0.767,0.967
10,50,Bayesian Random,0.857,0.831325,0.884575
10,50,Bayesian Fixed,0.889,0.79975,0.947525
10,50,Frequentist Retro,0.88,0.7895000000000001,0.94
11,5,Bayesian Random,0.8734999999999999,0.779925,0.934525
11,5,Bayesian Fixed,0.88,0.569275,1
11,5,Frequentist Retro,0.8,0.495,1
11,10,Bayesian Random,0.8605,0.7616,0.91205
11,10,Bayesian Fixed,0.8574999999999999,0.5675749999999999,1
11,10,Frequentist Retro,0.8,0.5475,1
11,20,Bayesian Random,0.855,0.80975,0.8985749999999999
11,20,Bayesian Fixed,0.8674999999999999,0.71695,1
11,20,Frequentist Retro,0.85,0.7,1
11,30,Bayesian Random,0.8545,0.8134250000000001,0.892575
11,30,Bayesian Fixed,0.851,0.6995499999999999,0.977
11,30,Frequentist Retro,0.833,0.7,0.967
11,50,Bayesian Random,0.853,0.82995,0.8795249999999999
11,50,Bayesian Fixed,0.858,0.7868,0.929
11,50,Frequentist Retro,0.85,0.78,0.92
12,5,Bayesian Random,0.8734999999999999,0.798425,0.9402999999999999
12,5,Bayesian Fixed,0.892,0.619175,1
12,5,Frequentist Retro,0.8,0.6,1
12,10,Bayesian Random,0.8585,0.7988500000000001,0.9300999999999999
12,10,Bayesian Fixed,0.927,0.6660250000000001,1
12,10,Frequentist Retro,0.9,0.6,1
12,20,Bayesian Random,0.8614999999999999,0.81495,0.906
12,20,Bayesian Fixed,0.9115,0.754475,1
12,20,Frequentist Retro,0.9,0.75,1
12,30,Bayesian Random,0.8585,0.823475,0.8891499999999999
12,30,Bayesian Fixed,0.8815,0.757525,0.976525
12,30,Frequentist Retro,0.867,0.767,0.967
12,50,Bayesian Random,0.856,0.83195,0.8911499999999999
12,50,Bayesian Fixed,0.8714999999999999,0.790475,0.9764499999999998
12,50,Frequentist Retro,0.86,0.78,0.9704999999999998
13,5,Bayesian Random,0.876,0.794475,0.932575
13,5,Bayesian Fixed,0.8825000000000001,0.6517999999999999,1
13,5,Frequentist Retro,0.8,0.6,1
13,10,Bayesian Random,0.8594999999999999,0.793475,0.9222999999999999
13,10,Bayesian Fixed,0.9275,0.6521250000000001,1
13,10,Frequentist Retro,0.9,0.6,1
13,20,Bayesian Random,0.8534999999999999,0.7940750000000001,0.8905749999999999
13,20,Bayesian Fixed,0.868,0.664375,1
13,20,Frequentist Retro,0.85,0.62375,1
13,30,Bayesian Random,0.856,0.816475,0.893575
13,30,Bayesian Fixed,0.8755,0.701975,0.977
13,30,Frequentist Retro,0.867,0.7,0.967
13,50,Bayesian Random,0.852,0.815475,0.8861
13,50,Bayesian Fixed,0.8494999999999999,0.742425,0.9465249999999998
13,50,Frequentist Retro,0.84,0.74,0.94
14,5,Bayesian Random,0.876,0.797475,0.9392499999999999
14,5,Bayesian Fixed,0.8835,0.614525,1
14,5,Frequentist Retro,0.8,0.6,1
14,10,Bayesian Random,0.855,0.775425,0.92815
14,10,Bayesian Fixed,0.8525,0.6439,1
14,10,Frequentist Retro,0.8,0.6,1
14,20,Bayesian Random,0.86,0.818475,0.895
14,20,Bayesian Fixed,0.871,0.729425,1
14,20,Frequentist Retro,0.85,0.7,1
14,30,Bayesian Random,0.8574999999999999,0.826475,0.896525
14,30,Bayesian Fixed,0.879,0.7465999999999999,0.978
14,30,Frequentist Retro,0.867,0.733,0.967
14,50,Bayesian Random,0.856,0.82395,0.89605
14,50,Bayesian Fixed,0.887,0.770375,0.9578749999999998
14,50,Frequentist Retro,0.88,0.76,0.9504999999999998
15,5,Bayesian Random,0.8765000000000001,0.7987500000000001,0.9445749999999999
15,5,Bayesian Fixed,0.8875,0.614125,1
15,5,Frequentist Retro,0.8,0.6,1
15,10,Bayesian Random,0.858,0.7799,0.9072499999999999
15,10,Bayesian Fixed,0.851,0.585175,1
15,10,Frequentist Retro,0.8,0.5475,1
15,20,Bayesian Random,0.852,0.78595,0.887525
15,20,Bayesian Fixed,0.826,0.696975,0.966
15,20,Frequentist Retro,0.8,0.65,0.95
15,30,Bayesian Random,0.851,0.7941750000000001,0.88
15,30,Bayesian Fixed,0.8205,0.6737500000000001,0.9465249999999998
15,30,Frequentist Retro,0.8,0.667,0.933
15,50,Bayesian Random,0.8485,0.8143750000000001,0.880525
15,50,Bayesian Fixed,0.8274999999999999,0.7299,0.9383999999999999
15,50,Frequentist Retro,0.82,0.72,0.9304999999999999
16,5,Bayesian Random,0.8734999999999999,0.767275,0.9417249999999999
16,5,Bayesian Fixed,0.886,0.510875,1
16,5,Frequentist Retro,0.8,0.4,1
16,10,Bayesian Random,0.8614999999999999,0.78555,0.92405
16,10,Bayesian Fixed,0.927,0.605575,1
16,10,Frequentist Retro,0.9,0.5475,1
16,20,Bayesian Random,0.8565,0.803475,0.910725
16,20,Bayesian Fixed,0.8665,0.676625,0.9843249999999997
16,20,Frequentist Retro,0.85,0.65,0.9762499999999996
16,30,Bayesian Random,0.855,0.8064,0.893525
16,30,Bayesian Fixed,0.874,0.727425,0.976
16,30,Frequentist Retro,0.867,0.733,0.967
16,50,Bayesian Random,0.8545,0.829475,0.884625
16,50,Bayesian Fixed,0.867,0.76995,0.947525
16,50,Frequentist Retro,0.86,0.76,0.94
17,5,Bayesian Random,0.8734999999999999,0.79695,0.9391999999999999
17,5,Bayesian Fixed,0.8815,0.6496500000000001,1
17,5,Frequentist Retro,0.8,0.6,1
17,10,Bayesian Random,0.856,0.77875,0.9185749999999999
17,10,Bayesian Fixed,0.848,0.607925,1
17,10,Frequentist Retro,0.8,0.5475,1
17,20,Bayesian Random,0.8565,0.7958500000000001,0.8994
17,20,Bayesian Fixed,0.868,0.6953750000000001,0.967525
17,20,Frequentist Retro,0.85,0.67375,0.95
17,30,Bayesian Random,0.855,0.820475,0.90015
17,30,Bayesian Fixed,0.8755,0.71275,0.977
17,30,Frequentist Retro,0.867,0.7156750000000001,0.967
17,50,Bayesian Random,0.855,0.822475,0.884525
17,50,Bayesian Fixed,0.87,0.76275,0.9583999999999999
17,50,Frequentist Retro,0.86,0.76,0.9504999999999998
18,5,Bayesian Random,0.8745,0.7887500000000001,0.935575
18,5,Bayesian Fixed,0.902,0.658375,1
18,5,Frequentist Retro,0.8,0.6,1
18,10,Bayesian Random,0.8534999999999999,0.7710250000000001,0.904525
18,10,Bayesian Fixed,0.841,0.5903499999999999,1
18,10,Frequentist Retro,0.8,0.5475,1
18,20,Bayesian Random,0.8545,0.798,0.9011
18,20,Bayesian Fixed,0.8674999999999999,0.6727000000000001,0.9843249999999997
18,20,Frequentist Retro,0.85,0.65,0.9762499999999996
18,30,Bayesian Random,0.8525,0.79945,0.887525
18,30,Bayesian Fixed,0.843,0.692375,0.943
18,30,Frequentist Retro,0.833,0.6826749999999999,0.933
18,50,Bayesian Random,0.8505,0.81,0.879
18,50,Bayesian Fixed,0.8345,0.73495,0.926
18,50,Frequentist Retro,0.82,0.72,0.92
19,5,Bayesian Random,0.869,0.79095,0.9392499999999999
19,5,Bayesian Fixed,0.873,0.6121749999999999,1
19,5,Frequentist Retro,0.8,0.6,1
19,10,Bayesian Random,0.8514999999999999,0.771275,0.91425
19,10,Bayesian Fixed,0.838,0.6275,1
19,10,Frequentist Retro,0.8,0.6,1
19,20,Bayesian Random,0.855,0.7799499999999999,0.889575
19,20,Bayesian Fixed,0.864,0.653025,0.96705
19,20,Frequentist Retro,0.85,0.62375,0.95
19,30,Bayesian Random,0.853,0.8159,0.8911
19,30,Bayesian Fixed,0.8474999999999999,0.700825,0.944
19,30,Frequentist Retro,0.833,0.7,0.933
19,50,Bayesian Random,0.8525,0.795425,0.881675
19,50,Bayesian Fixed,0.8474999999999999,0.70565,0.928
19,50,Frequentist Retro,0.84,0.6895,0.92
20,5,Bayesian Random,0.88,0.79495,0.93305
20,5,Bayesian Fixed,0.954,0.679475,1
20,5,Frequentist Retro,0.9,0.6,1
20,10,Bayesian Random,0.8554999999999999,0.7892750000000001,0.9235499999999999
20,10,Bayesian Fixed,0.852,0.623425,1
20,10,Frequentist Retro,0.8,0.6,1
20,20,Bayesian Random,0.858,0.820475,0.90405
20,20,Bayesian Fixed,0.8734999999999999,0.715425,0.9847999999999997
20,20,Frequentist Retro,0.85,0.7,0.9762499999999996
20,30,Bayesian Random,0.858,0.820325,0.8991
20,30,Bayesian Fixed,0.879,0.740475,0.977
20,30,Frequentist Retro,0.867,0.733,0.967
20,50,Bayesian Random,0.855,0.822475,0.879
20,50,Bayesian Fixed,0.8645,0.774475,0.945
20,50,Frequentist Retro,0.86,0.76,0.9304999999999999
